plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,address,latitude,longitude
GWT3483,NY,PAS,8905596460,2021-09-27,8,42A,FRONT OR BACK PLATE MISSING,NA,65,0,0,65,0,0,105,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNVVWVFZPYWxFeVRVRTlQUT09&locationName=_____________________),Monday,2021,9,27,"120-07 195th St ,   , NY",40.688715,-73.7541177
HSZ5021,NY,PAS,8977866388,2021-10-01,13,28P,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,071,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNTZaekpPYWswMFQwRTlQUT09&locationName=_____________________),Friday,2021,10,1,"676 Midwood St ,   , NY",40.660675,-73.9382496
KNY3930,NY,PAS,8928510521,2021-10-06,13,41P,FAIL TO DSPLY MUNI METER RECPT,NA,65,0,0,0,0,65,010,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVVOUVWWGhOUkZWNVRWRTlQUT09&locationName=_____________________),Wednesday,2021,10,6,"599 10th Ave ,   , NY",40.7607371,-73.9951072
GMJ5185,NY,PAS,8877479723,2021-07-02,5,35A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,113,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wNTZVVE5QVkdONVRYYzlQUT09&locationName=_____________________),Friday,2021,7,2,"119-06 Merrick Blvd ,   , NY",40.6854307,-73.7731429
BCZ5111,NY,PAS,4744802515,2021-08-17,7,00A,PHTO SCHOOL ZN SPEED VIOLATION,NA,50,0,0,0,50,0,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1FNUVaM2ROYWxWNFRsRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"0 SB WOODHAVEN BLVD @ ,  101ST AVE , NY",40.6842665,-73.846038
KMD2746,NY,PAS,8955790260,2021-10-07,22,25P,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,009,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNVVZelZOUkVreVRVRTlQUT09&locationName=_____________________),Thursday,2021,10,7,"415 E 6th St ,   , NY",40.7262647,-73.9852804
KNB1333,NY,PAS,8946479360,2021-08-01,9,16A,FIRE HYDRANT,NA,115,0,0,0,0,115,019,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNXFVVE5QVkUweVRVRTlQUT09&locationName=_____________________),Sunday,2021,8,1,"331 E 92nd St ,   , NY",40.7811466,-73.9473481
KKA7012,NY,PAS,2002458420,2021-07-02,9,59A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,083,Brooklyn,DEPARTMENT OF SANITATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFVVEZQUkZGNVRVRTlQUT09&locationName=_____________________),Friday,2021,7,2,"1055 HANCOCK STREET ,   , NY",40.6886128,-73.9150562
KMT7550,NY,PAS,8877767686,2021-10-04,8,15A,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,108,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wNTZZekpPZWxrMFRtYzlQUT09&locationName=_____________________),Monday,2021,10,4,"4739 43rd St ,   , NY",40.740263,-73.921787
KJC3671,NY,PAS,8946527420,2021-08-06,10,20A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,025,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNXFWWGxPZWxGNVRVRTlQUT09&locationName=_____________________),Friday,2021,8,6,"2117 5th Ave ,   , NY",40.8093412,-73.9397932
HJE7532,NY,PAS,8902607446,2021-07-22,9,53A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,112,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMXFXWGRPZWxFd1RtYzlQUT09&locationName=_____________________),Thursday,2021,7,22,"6346 Booth St ,   , NY",40.7287305,-73.8639939
GRE1846,NY,PAS,8858082503,2021-10-06,7,27A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,045,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VOUVRVFJOYWxWM1RYYzlQUT09&locationName=_____________________),Wednesday,2021,10,6,"700 Baychester Ave ,   , NY",40.8732692,-73.831706
FFY1068,NY,PAS,2003490577,2021-10-21,8,51A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,107,Queens,DEPARTMENT OF SANITATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMTZVVFZOUkZVelRuYzlQUT09&locationName=_____________________),Thursday,2021,10,21,"87-52 144 STREET ,   , NY",40.7055293,-73.8122218
JKH7084,NY,PAS,8936725993,2021-08-13,14,21P,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,115,0,018,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNXFZM2xPVkdzMVRYYzlQUT09&locationName=_____________________),Friday,2021,8,13,"55 W 47th St ,   , NY",40.7578742,-73.9809197
HJY9101,NY,PAS,8873160359,2021-09-16,17,07P,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,0,0,35,114,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMTZSVEpOUkUweFQxRTlQUT09&locationName=_____________________),Thursday,2021,9,16,"35-11 36th St ,   , NY",40.755795,-73.9245456
KNA6921,NY,PAS,8891831414,2021-10-05,8,41A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,115,0,0,112,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMVVaM3BOVkZGNFRrRTlQUT09&locationName=_____________________),Tuesday,2021,10,5,"102-32 65th Ave ,   , NY",40.7305434,-73.8516104
EBA6278,NY,PAS,8983732660,2021-10-09,24,53P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,063,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZZM3BOYWxreVRVRTlQUT09&locationName=_____________________),Saturday,2021,10,9,"1925 E 33rd St ,   , NY",40.6096103,-73.9345929
KRA6690,NY,PAS,8894405916,2021-09-10,10,43A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,109,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNUVVWGRPVkd0NFRtYzlQUT09&locationName=_____________________),Friday,2021,9,10,"1833 College Point Blvd ,   , NY",40.7822503,-73.8458084
JJZ1176,NY,PAS,2003622573,2021-10-02,8,09A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,047,Bronx,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMTZXWGxOYWxVelRYYzlQUT09&locationName=_____________________),Saturday,2021,10,2,"4769 WHITE PLAINS ROAD ,   , NY",40.9054545,-73.849763
DMJ3076,NY,PAS,8944074616,2021-07-02,11,10A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,019,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNUVRVE5PUkZsNFRtYzlQUT09&locationName=_____________________),Friday,2021,7,2,"168 E 89th St ,   , NY",40.7808257,-73.9532259
GVA1572,NY,PAS,8992248489,2021-08-27,8,35A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,084,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFTVEJQUkZFMFQxRTlQUT09&locationName=_____________________),Friday,2021,8,27,"63 Duffield St ,   , NY",40.6964239,-73.9838875
FJX9845,NY,PAS,8980082216,2021-08-03,20,23P,FRONT OR BACK PLATE MISSING,NA,65,0,0,65,0,0,061,Brooklyn,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMUVRVFJOYWtsNFRtYzlQUT09&locationName=_____________________),Tuesday,2021,8,3,"2803 E 27th St ,   , NY",40.5846666,-73.9415147
JNF4676,NY,PAS,8846644499,2021-10-01,11,29A,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,115,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNXFXVEJPUkZFMVQxRTlQUT09&locationName=_____________________),Friday,2021,10,1,"34-51 69th St ,   , NY",40.7509863,-73.8965173
KLN1171,NY,PAS,8904916732,2021-07-15,14,13P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNUVhM2hPYW1ONlRXYzlQUT09&locationName=_____________________),Thursday,2021,7,15,"S 106th Ave ,  15ft W/of Liverpool , NY",40.6784417,-73.8518728
KHM1295,NY,PAS,8968395238,2021-09-08,0,31A,DOUBLE PARKING,NA,115,0,0,0,0,115,050,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOUVUVFZPVkVsNlQwRTlQUT09&locationName=_____________________),Wednesday,2021,9,8,"2734 Jerome Ave ,   , NY",40.868898,-73.8959288
HES5866,NY,PAS,8751196130,2021-10-12,8,34A,NO STANDING-BUS LANE,NA,115,0,0,0,0,115,040,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMVVSVFZPYWtWNlRVRTlQUT09&locationName=_____________________),Tuesday,2021,10,12,"149 E 149th St ,   , NY",40.8188848,-73.9277844
HPM5568,NY,PAS,8943286170,2021-08-21,6,57A,FIRE HYDRANT,NA,115,0,0,0,0,115,025,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMTZTVFJPYWtVelRVRTlQUT09&locationName=_____________________),Saturday,2021,8,21,"S E 117th St ,  7ft E/of 1st Ave , NY",40.7976802,-73.9372895
JLM8854,NY,PAS,8994775985,2021-10-03,11,29A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,079,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVZek5PVkdzMFRsRTlQUT09&locationName=_____________________),Sunday,2021,10,3,"80 Monroe St ,   , NY",40.6847172,-73.9560309
JLC6942,NY,PAS,8867642560,2021-09-26,11,20A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,077,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNTZXVEJOYWxVeVRVRTlQUT09&locationName=_____________________),Sunday,2021,9,26,"E Troy Ave ,  500ft S/of Bergen St , NY",40.6487338,-73.9358905
KPD5406,NY,PAS,8961041770,2021-08-23,13,47P,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,052,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMVVRVEJOVkdNelRVRTlQUT09&locationName=_____________________),Monday,2021,8,23,"2435 Devoe Ter ,   , NY",40.8644953,-73.9062668
KNP6628,NY,PAS,1471787564,2021-08-21,8,50A,OBSTRUCTING DRIVEWAY,NA,95,0,0,0,0,95,113,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVZelJPZWxVeVRrRTlQUT09&locationName=_____________________),Saturday,2021,8,21,"120-37 146 ST ,   , NY",40.6760771,-73.7924273
HJD4430,NY,PAS,8941165301,2021-09-21,10,37A,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,114,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMVVSVEpPVkUxM1RWRTlQUT09&locationName=_____________________),Tuesday,2021,9,21,"W 30th St ,  45ft S/of 39th Ave , NY",40.750235000000004,-73.9966229
KML1234,NY,PAS,8953047729,2021-08-13,17,56P,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,033,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMTZRVEJPZW1ONVQxRTlQUT09&locationName=_____________________),Friday,2021,8,13,"130 Fort Washington Ave ,   , NY",40.8398919,-73.9428247
JEE5743,NY,PAS,8898295443,2021-10-09,13,58P,NO PARKING-DAY/TIME LIMITS,NA,65,0,0,0,65,0,005,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VOUVTVFZPVkZFd1RYYzlQUT09&locationName=_____________________),Saturday,2021,10,9,"2 Prince St ,   , NY",40.7223822,-73.9936378
JEE8305,NY,PAS,8960687224,2021-09-29,10,04A,FIRE HYDRANT,NA,115,0,0,0,0,115,048,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMUVXVFJPZWtsNVRrRTlQUT09&locationName=_____________________),Wednesday,2021,9,29,"N E 179th St ,  5ft W/of Monterey Av , NY",45.7512282,-122.6023994
KKT3542,NY,PAS,8973823073,2021-07-17,11,37A,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,60,0,061,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZaM2xOZWtFelRYYzlQUT09&locationName=_____________________),Saturday,2021,7,17,"188 Irwin St ,   , NY",40.5782279,-73.9439039
KJK9140,NY,PAS,8791727066,2021-07-09,14,08P,INSP STICKER-MUTILATED/C'FEIT,NA,65,0,0,0,65,0,108,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VMVVZM2xPZWtFeVRtYzlQUT09&locationName=_____________________),Friday,2021,7,9,"S Queens Midtown Expy ,  25ft E/of 46th St , NY",40.7447841,-73.9636285
KPK6178,NY,PAS,8879928053,2021-07-19,24,39P,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOVVhM2xQUkVFeFRYYzlQUT09&locationName=_____________________),Monday,2021,7,19,"S 87th Ave ,  3ft W/of 135th St , NY",40.707025,-73.8124818
JHU2420,NY,PAS,8872885292,2021-09-25,16,51P,EXPIRED MUNI METER,NA,35,0,0,0,0,35,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMXFaelJPVkVrMVRXYzlQUT09&locationName=_____________________),Saturday,2021,9,25,"164-03 89th Ave ,   , NY",40.707645,-73.7970805
KGR8849,NY,PAS,8944889685,2021-10-13,8,07A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,023,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNUVaelJQVkZrMFRsRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"2196 3rd Ave ,   , NY",40.8004915,-73.9385768
KHU7661,NY,PAS,8901141784,2021-07-16,10,10A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,101,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMVVSVEJOVkdNMFRrRTlQUT09&locationName=_____________________),Friday,2021,7,16,"2925 Beach Channel Dr ,   , NY",40.599072,-73.7646553
GUE4027,NY,PAS,4741573710,2021-07-23,9,17A,PHTO SCHOOL ZN SPEED VIOLATION,10/14/2021,50,25,0.56,0,0,75.56,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1FMVVWVE5OZW1ONFRVRTlQUT09&locationName=_____________________),Friday,2021,7,23,"0 NB MARATHON PKWY @ T ,  HEBES AVE , NY",40.7615317,-73.7326872
CXP8194,NY,PAS,8946730389,2021-07-12,14,10P,CROSSWALK,NA,115,0,0,0,0,115,023,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNXFZM3BOUkUwMFQxRTlQUT09&locationName=_____________________),Monday,2021,7,12,"S E 98th St ,  0ft E/of Madison Ave , NY",40.7878021,-73.9514606
KEN8957,NY,PAS,1478427280,2021-09-04,7,35A,SIDEWALK,NA,115,0,0,0,0,115,025,Manhattan,PARKS DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wOUVVWGxPZWtrMFRVRTlQUT09&locationName=_____________________),Saturday,2021,9,4,"0 SUNKEN MEADOW LOOP ,  RANDALLS ISLAND , NY",40.7935293,-73.9184849
JLU6648,NY,PAS,8878579658,2021-07-19,9,33A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,101,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVWVE5QVkZreFQwRTlQUT09&locationName=_____________________),Monday,2021,7,19,"10 Beach 32nd St ,   , NY",40.5937136,-73.7639789
JGM6230,NY,PAS,8976675423,2021-10-12,7,23A,INSP STICKER-MUTILATED/C'FEIT,NA,65,0,0,0,0,65,076,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNXFXVE5PVkZGNVRYYzlQUT09&locationName=_____________________),Tuesday,2021,10,12,"S Otsego St ,  20ft E/of Visitation , NY",43.2994285,-74.2179326
JSE2798,NY,PAS,8886923028,2021-10-21,24,05P,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,079,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNXFhM2xOZWtGNVQwRTlQUT09&locationName=_____________________),Thursday,2021,10,21,"541 Greene Ave ,   , NY",40.6888549,-73.949262
JML8399,NY,PAS,8944924739,2021-08-17,10,25A,NO STANDING-EXC. AUTH. VEHICLE,NA,95,0,0,0,0,95,020,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNUVhM2xPUkdONlQxRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"33 W 67th St ,   , NY",40.7739157,-73.9799267
KFK8306,NY,PAS,8982091555,2021-10-21,10,25A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,069,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFRVFZOVkZVeFRsRTlQUT09&locationName=_____________________),Thursday,2021,10,21,"1219 E 89th St ,   , NY",40.634577,-73.900625
JGL6748,NY,PAS,8959868632,2021-08-11,8,40A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,052,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOVVaekpQUkZsNlRXYzlQUT09&locationName=_____________________),Wednesday,2021,8,11,"290 E 196th St ,   , NY",40.8666249,-73.8905918
HNF2705,NY,PAS,4737947209,2021-06-25,24,27P,PHTO SCHOOL ZN SPEED VIOLATION,NA,50,25,0,0,75,0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamVrNTZhekJPZWtsM1QxRTlQUT09&locationName=_____________________),Friday,2021,6,25,"0 SB WEST ST @ LEROY S ,  T , NY",40.7236285,-74.0115772
KJY5172,NY,PAS,8901077929,2021-10-18,17,02P,NO MATCH-PLATE/STICKER,NA,65,0,0,0,0,65,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMVVRVE5PZW10NVQxRTlQUT09&locationName=_____________________),Monday,2021,10,18,"204-03 100th Ave ,   , NY",40.711641,-73.755785
JRG7217,NY,PAS,8938212543,2021-09-09,16,54P,NO STANDING-COMM METER ZONE,NA,115,0,0,0,0,115,014,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrOUVTWGhOYWxVd1RYYzlQUT09&locationName=_____________________),Thursday,2021,9,9,"255 W 36th St ,   , NY",40.7532276,-73.9914584
KSM2288,NY,PAS,8852294399,2021-10-13,21,50P,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,032,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFTVFZPUkUwMVQxRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"2651 Adam Clayton Powell ,   , NY",40.826265,-73.9352423
KME4178,NY,PAS,8917533530,2021-07-03,7,02A,FIRE HYDRANT,NA,115,0,0,0,0,115,007,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZWWHBOZWxWNlRVRTlQUT09&locationName=_____________________),Saturday,2021,7,3,"69 Columbia St ,   , NY",40.7174899,-73.9803778
KGS8051,NY,PAS,8964762356,2021-07-08,7,51A,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,65,0,048,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNUVZekpOYWsweFRtYzlQUT09&locationName=_____________________),Thursday,2021,7,8,"1971 Webster Ave ,   , NY",40.8495459,-73.9002956
JRV7251,NY,PAS,1477909953,2021-07-13,13,35P,DOUBLE PARKING,NA,115,0,0,0,0,115,010,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNTZhM2RQVkdzeFRYYzlQUT09&locationName=_____________________),Tuesday,2021,7,13,"274 W 19 ST ,   , NY",40.7424159,-73.9998636
KPY2807,NY,PAS,8948838465,2021-10-14,24,13P,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,034,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOUVaM3BQUkZFeVRsRTlQUT09&locationName=_____________________),Thursday,2021,10,14,"24 Laurel Hill Ter ,   , NY",40.8488993,-73.9293418
KCE2354,NY,PAS,1480610367,2021-07-24,5,14A,DOUBLE PARKING,NA,115,0,0,0,0,115,044,Bronx,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMUVXWGhOUkUweVRuYzlQUT09&locationName=_____________________),Saturday,2021,7,24,"38 E 169 ST ,   , NY",40.8372376,-73.9184004
GTB4454,NY,PAS,8876888317,2021-08-12,15,17P,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,35,0,0,106,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wNXFaelJQUkUxNFRuYzlQUT09&locationName=_____________________),Thursday,2021,8,12,"103-54 93rd St ,   , NY",40.6807041,-73.84615
HPA2709,NY,PAS,8968596621,2021-09-24,3,06A,FIRE HYDRANT,NA,115,0,0,0,0,115,043,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOUVWVFZPYWxsNVRWRTlQUT09&locationName=_____________________),Friday,2021,9,24,"1459 Taylor Ave ,   , NY",40.8368539,-73.866486
JPK5694,NY,PAS,1481713980,2021-09-04,8,40A,SIDEWALK,NA,115,0,0,0,115,0,070,Brooklyn,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMVVZM2hOZW1zMFRVRTlQUT09&locationName=_____________________),Saturday,2021,9,4,"1919 CORTELYOU RD ,   , NY",40.6433127,-73.9603837
JNJ1990,NY,PAS,8973578340,2021-07-27,3,00A,FIRE HYDRANT,NA,115,0,0,0,0,115,070,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZWVE5QUkUwd1RVRTlQUT09&locationName=_____________________),Tuesday,2021,7,27,"E E 21st St ,  30ft S/of Newkirk Av , NY",40.6189234,-73.9540459
KHG7455,NY,PAS,8863929555,2021-09-23,10,56A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,120,Staten Island,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rMTZhM2xQVkZVeFRsRTlQUT09&locationName=_____________________),Thursday,2021,9,23,"S Little Clove Rd ,  60ft W/of Broadway , NY",40.6111591,-74.1058266
KLV2894,NY,PAS,8793735479,2021-10-08,5,15A,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,072,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VMTZZM3BPVkZFelQxRTlQUT09&locationName=_____________________),Friday,2021,10,8,"842 41st St ,   , NY",40.645388,-73.9975656
