plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,vehicle_body_type,vehicle_year,house_street,geo_nyc_address,google_address,new_url,coordinates,lat,long
JRW3069,NY,PAS,8837042061,2021-09-29,6,39A,FIRE HYDRANT,NA,115,0,0,0,0,115,113,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNTZRVEJOYWtFeVRWRTlQUT09&locationName=_____________________),Wednesday,2021,9,29,SUBN,2020,12914 142nd St,"35-01 36TH AVENUE, 20FT S/OF FROST STREET, QUEENS","35-01 36th Ave,20ft S/of Frost St,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=35-01 36TH AVENUE, 20FT S/OF FROST STREET, QUEENS&size=50",,40.7551,-73.92611
KJC9351,NY,PAS,8837092570,2021-02-05,11,12A,FIRE HYDRANT,NA,115,0,0,0,115,0,048,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNTZRVFZOYWxVelRVRTlQUT09&locationName=_____________________),Friday,2021,2,5,NA,NA,NA,"156 E 100TH STREET, 50FT S/OF W 150TH ST,BRONX","156 E 100th St,50ft S/of W 150th St,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=156 E 100TH STREET, 50FT S/OF W 150TH ST,BRONX&size=50",,40.788009,-73.948668
KJB1087,NY,PAS,8838037152,2021-02-15,10,13A,FIRE HYDRANT,NA,115,0,0,0,0,115,023,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrOUVRWHBPZWtVeFRXYzlQUT09&locationName=_____________________),Monday,2021,2,15,NA,NA,NA,"38-15 BELL BOULEVARD, 8FT S/OF S 9TH STREET, MANHATTAN","38-15 Bell Blvd,8ft S/of S 9th St,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=38-15 BELL BOULEVARD, 8FT S/OF S 9TH STREET, MANHATTAN&size=50",,40.765988,-73.771961
FBL5780,NY,PAS,8839812120,2021-02-18,4,49A,FIRE HYDRANT,NA,115,0,0,0,0,115,067,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrOVVaM2hOYWtWNVRVRTlQUT09&locationName=_____________________),Thursday,2021,2,18,NA,NA,NA,"102 CANAL STREET, 30FT W/OF W FARMS RD,BROOKLYN","102 Canal St,30ft W/of W Farms Rd,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=102 CANAL STREET, 30FT W/OF W FARMS RD,BROOKLYN&size=50",,40.626385,-74.0769
KFS5654,NY,PAS,8839812283,2021-02-18,6,02A,FIRE HYDRANT,NA,115,0,0,0,0,115,069,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrOVVaM2hOYWtrMFRYYzlQUT09&locationName=_____________________),Thursday,2021,2,18,NA,NA,NA,"1780 EASTBURN AVENUE,5TH STREET, BROOKLYN","1780 EASTBURN AVENUE,5TH ST,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1780 EASTBURN AVENUE,5TH STREET, BROOKLYN&size=50",,40.846496,-73.908069
KEH2076,NY,PAS,8840477251,2021-08-16,8,01A,FIRE HYDRANT,NA,115,0,0,0,0,115,106,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVVVE5PZWtreFRWRTlQUT09&locationName=_____________________),Monday,2021,8,16,4DSD,2019,W 106th St,"3138 WEBSTER AVENUE, HENECTADY AVE,QUEENS","3138 Webster Ave,HENECTADY AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=3138 WEBSTER AVENUE, HENECTADY AVE,QUEENS&size=50",,40.8719,-73.875432
HSE2971,NY,PAS,8840965361,2021-01-02,9,10A,FIRE HYDRANT,NA,115,0,0,0,0,115,070,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVhekpPVkUweVRWRTlQUT09&locationName=_____________________),Saturday,2021,1,2,NA,NA,NA,"108-29 160TH STREET, 15FT N/OF EDENWALD A,BROOKLYN","108-29 160th St,15ft N/of Edenwald A,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=108-29 160TH STREET, 15FT N/OF EDENWALD A,BROOKLYN&size=50",,40.694985,-73.792445
KJW1350,NY,PAS,8841397500,2021-01-22,6,04A,FIRE HYDRANT,NA,115,0,0,0,115,0,032,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVUVFZPZWxWM1RVRTlQUT09&locationName=_____________________),Friday,2021,1,22,NA,NA,NA,"160-02 90TH AVENUE, 10FT E/OF BOSTON RD,MANHATTAN","160-02 90th Ave,10ft E/of Boston Rd,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=160-02 90TH AVENUE, 10FT E/OF BOSTON RD,MANHATTAN&size=50",,40.705175,-73.79965
JJS9646,NY,PAS,8841884241,2021-10-13,24,30P,FIRE HYDRANT,NA,115,0,0,0,0,115,006,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVaelJPUkVrd1RWRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,2DSD,2014,W Bedford St,"2998 PERRY AVENUE, H STREET, MANHATTAN","2998 Perry Ave,H ST,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2998 PERRY AVENUE, H STREET, MANHATTAN&size=50",,40.870697,-73.882656
KKT3224,NY,PAS,8842339805,2021-06-26,11,45A,FIRE HYDRANT,NA,115,0,0,0,0,115,121,Staten Island,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMXFUWHBQVkdkM1RsRTlQUT09&locationName=_____________________),Saturday,2021,6,26,NA,NA,NA,"186 BAY 32ND STREET, 70FT E/OF WILLIAMSBR,STATEN ISLAND","186 Bay 32nd St,70ft E/of Williamsbr,STATEN ISLAND,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=186 BAY 32ND STREET, 70FT E/OF WILLIAMSBR,STATEN ISLAND&size=50",,40.597388,-73.996415
HXY4862,NY,PAS,8843327744,2021-09-21,9,00A,FIRE HYDRANT,NA,115,0,0,0,0,115,073,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMTZUWGxPZW1Nd1RrRTlQUT09&locationName=_____________________),Tuesday,2021,9,21,4DSD,2015,1598 Eastern Pky,"2217 BATH AVENUE, NDEN BOULEVARD, BROOKLYN","2217 Bath Ave,NDEN BLVD,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2217 BATH AVENUE, NDEN BOULEVARD, BROOKLYN&size=50",,40.598355,-73.996743
KFL1608,NY,PAS,8843376640,2021-04-29,9,17A,FIRE HYDRANT,NA,115,0,0,0,0,115,105,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMTZUVE5PYWxrd1RVRTlQUT09&locationName=_____________________),Thursday,2021,4,29,NA,NA,NA,"205 SEA BREEZE AVENUE, 5FT E/OF 11TH STREET, QUEENS","205 Sea Breeze Ave,5ft E/of 11th St,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=205 SEA BREEZE AVENUE, 5FT E/OF 11TH STREET, QUEENS&size=50",,40.57606,-73.970959
KHA9627,NY,PAS,8843391290,2021-07-30,8,57A,FIRE HYDRANT,NA,115,0,0,0,0,115,107,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMTZUVFZOVkVrMVRVRTlQUT09&locationName=_____________________),Friday,2021,7,30,4DSD,2008,144-19 78th Rd,"49 EDGECOMBE AVENUE, 35FT N/OF N 4TH STREET, QUEENS","49 Edgecombe Ave,35ft N/of N 4th St,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=49 EDGECOMBE AVENUE, 35FT N/OF N 4TH STREET, QUEENS&size=50",,40.818857,-73.946926
GVL4169,NY,PAS,8843530203,2021-04-27,9,58A,FIRE HYDRANT,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMTZWWHBOUkVsM1RYYzlQUT09&locationName=_____________________),Tuesday,2021,4,27,NA,NA,NA,"1642 CENTRE STREET, 75FT S/OF 149TH AVENUE, QUEENS","1642 Centre St,75ft S/of 149th Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1642 CENTRE STREET, 75FT S/OF 149TH AVENUE, QUEENS&size=50",,40.697222,-73.904206
DNM3457,NY,PAS,8844391259,2021-01-24,6,59A,FIRE HYDRANT,NA,115,0,0,0,0,115,019,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNUVUVFZOVkVreFQxRTlQUT09&locationName=_____________________),Sunday,2021,1,24,NA,NA,NA,"148-19 32ND AVENUE, H STREET, MANHATTAN","148-19 32nd Ave,H ST,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=148-19 32ND AVENUE, H STREET, MANHATTAN&size=50",,40.770423,-73.817637
JPP6891,NY,PAS,8844699620,2021-09-13,10,05A,FIRE HYDRANT,NA,115,0,0,0,0,115,042,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNUVXVFZQVkZsNVRVRTlQUT09&locationName=_____________________),Monday,2021,9,13,SUBN,2018,S E 167th St,"35-64 79TH STREET, NAH AVENUE, BRONX","35-64 79th St,NAH AVE,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=35-64 79TH STREET, NAH AVENUE, BRONX&size=50",,40.749661,-73.887424
GAR2803,NY,PAS,8845086124,2021-01-28,20,29P,FIRE HYDRANT,NA,115,0,0,0,0,115,077,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNVVRVFJPYWtWNVRrRTlQUT09&locationName=_____________________),Thursday,2021,1,28,NA,NA,NA,"36-36 33RD STREET, NCIS LEWIS BOULEVARD, BROOKLYN","36-36 33rd St,NCIS LEWIS BLVD,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=36-36 33RD STREET, NCIS LEWIS BOULEVARD, BROOKLYN&size=50",,40.754859,-73.929241
HDU9573,NY,PAS,8845527839,2021-09-25,11,19A,FIRE HYDRANT,NA,115,0,0,0,0,115,120,Staten Island,TRAFFIC,HEARING ADJOURNMENT,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNVVWWGxPZW1kNlQxRTlQUT09&locationName=_____________________),Saturday,2021,9,25,4DSD,2016,W Osgood Ave,"691 EAST 241 STREET,80FT S/OF E 153RD STREET, STATEN ISLAND","691 EAST 241 STREET,80ft S/of E 153rd St,STATEN ISLAND,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=691 EAST 241 STREET,80FT S/OF E 153RD STREET, STATEN ISLAND&size=50",,40.9038,-73.850535
KHL5011,NY,PAS,8847077837,2021-04-13,6,59A,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZRVE5PZW1kNlRuYzlQUT09&locationName=_____________________),Tuesday,2021,4,13,NA,NA,NA,"35-48 STEINWAY STREET, ANDER AVENUE, QUEENS","35-48 Steinway St,ANDER AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=35-48 STEINWAY STREET, ANDER AVENUE, QUEENS&size=50",,40.75403,-73.923362
KHJ5843,NY,PAS,8847083357,2021-05-24,7,26A,FIRE HYDRANT,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZRVFJOZWsweFRuYzlQUT09&locationName=_____________________),Monday,2021,5,24,NA,NA,NA,"1719 W FARMS RD,NNETT CT,QUEENS","1719 W Farms Rd,NNETT CT,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1719 W FARMS RD,NNETT CT,QUEENS&size=50",,40.834779,-73.883521
GED8148,NY,PAS,8847085330,2021-05-28,2,36A,FIRE HYDRANT,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZRVFJPVkUxNlRVRTlQUT09&locationName=_____________________),Friday,2021,5,28,NA,NA,NA,"151 E 26TH STREET, ANDER AVENUE, QUEENS","151 E 26th St,ANDER AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=151 E 26TH STREET, ANDER AVENUE, QUEENS&size=50",,40.741178,-73.982282
JMR7737,NY,PAS,8847212509,2021-01-27,21,15P,FIRE HYDRANT,NA,115,0,0,0,0,115,009,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZTWGhOYWxWM1QxRTlQUT09&locationName=_____________________),Wednesday,2021,1,27,NA,NA,NA,"3247 BROADWAY,ST,MANHATTAN","3247 Broadway,ST,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=3247 BROADWAY,ST,MANHATTAN&size=50",,40.81786,-73.95861
KPM4258,NY,PAS,8847219164,2021-10-14,6,14A,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZTWGhQVkVVeVRrRTlQUT09&locationName=_____________________),Thursday,2021,10,14,4DSD,2010,23 W 131st St,"409 BEACH 51ST STREET, ST,MANHATTAN","409 Beach 51st St,ST,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=409 BEACH 51ST STREET, ST,MANHATTAN&size=50",,40.595698,-73.782196
GDK4229,NY,PAS,8847477840,2021-01-26,9,09A,FIRE HYDRANT,NA,115,0,0,0,115,0,023,Manhattan,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNTZVVE5PZW1jd1RVRTlQUT09&locationName=_____________________),Tuesday,2021,1,26,NA,NA,NA,"2257 E 16TH STREET, 100FT S/OF BOOTH MEM,MANHATTAN","2257 E 16th St,100ft S/of Booth Mem,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2257 E 16TH STREET, 100FT S/OF BOOTH MEM,MANHATTAN&size=50",,40.595486,-73.954348
JRC5141,NY,PAS,8848239444,2021-08-23,13,44P,FIRE HYDRANT,NA,115,0,0,0,0,115,113,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVTWHBQVkZFd1RrRTlQUT09&locationName=_____________________),Monday,2021,8,23,4DSD,2013,161-38 119th Rd,"31-71 42ND STREET, T,QUEENS","31-71 42nd St,t,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=31-71 42ND STREET, T,QUEENS&size=50",,40.758703,-73.916702
JBZ6103,NY,PAS,8848315744,2021-01-11,18,43P,FIRE HYDRANT,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVUWGhPVkdNd1RrRTlQUT09&locationName=_____________________),Monday,2021,1,11,NA,NA,NA,"101-38 114TH STREET, 35FT S/OF E 5TH ST,QUEENS","101-38 114th St,35ft S/of E 5th St,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=101-38 114TH STREET, 35FT S/OF E 5TH ST,QUEENS&size=50",,40.687671,-73.829867
KHP2468,NY,PAS,8848320065,2021-02-25,13,49P,FIRE HYDRANT,NA,115,0,0,0,0,115,106,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVUWGxOUkVFeVRsRTlQUT09&locationName=_____________________),Thursday,2021,2,25,NA,NA,NA,"198 VAN DUZER STREET, 20FT E/OF 2ND AVENUE, QUEENS","198 Van Duzer St,20ft E/of 2nd Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=198 VAN DUZER STREET, 20FT E/OF 2ND AVENUE, QUEENS&size=50",,40.633221,-74.076881
HMZ2187,NY,PAS,8848726550,2021-02-23,7,17A,FIRE HYDRANT,NA,115,0,0,0,115,0,115,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVZM2xPYWxVeFRVRTlQUT09&locationName=_____________________),Tuesday,2021,2,23,NA,NA,NA,"108-27 70TH RD,15FT N/OF MYRTLE AVENUE, QUEENS","108-27 70th Rd,15ft N/of Myrtle Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=108-27 70TH RD,15FT N/OF MYRTLE AVENUE, QUEENS&size=50",,40.722838,-73.843164
JSC5556,NY,PAS,8848729265,2021-03-10,7,47A,FIRE HYDRANT,NA,115,0,0,0,0,115,108,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVZM2xQVkVreVRsRTlQUT09&locationName=_____________________),Wednesday,2021,3,10,NA,NA,NA,"244 E 86TH STREET, TH AVENUE, QUEENS","244 E 86th St,TH AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=244 E 86TH STREET, TH AVENUE, QUEENS&size=50",,40.64671,-73.918499
KHD9600,NY,PAS,8848730474,2021-03-16,6,27A,FIRE HYDRANT,NA,115,0,0,0,0,115,115,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVZM3BOUkZFelRrRTlQUT09&locationName=_____________________),Tuesday,2021,3,16,NA,NA,NA,"131-12 LIBERTY AVENUE, BON AVE,QUEENS","131-12 Liberty Ave,BON AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=131-12 LIBERTY AVENUE, BON AVE,QUEENS&size=50",,40.690172,-73.814259
KJC2058,NY,PAS,8848818547,2021-06-08,6,57A,FIRE HYDRANT,NA,115,0,0,115,0,0,111,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVaM2hQUkZVd1RuYzlQUT09&locationName=_____________________),Tuesday,2021,6,8,NA,NA,NA,"1302 AMSTERDAM AVENUE, 20FT E/OF ASTORIABOULEVARD, QUEENS","1302 Amsterdam Ave,20ft E/of Astoria Bl,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1302 AMSTERDAM AVENUE, 20FT E/OF ASTORIABOULEVARD, QUEENS&size=50",,40.812339,-73.95743
JRC6438,NY,PAS,8848936179,2021-09-07,14,02P,FIRE HYDRANT,NA,115,0,0,0,0,115,081,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOUVhM3BPYWtVelQxRTlQUT09&locationName=_____________________),Tuesday,2021,9,7,4DSD,2006,650 Gates Ave,"412 E 88TH STREET, E AVENUE, BROOKLYN","412 E 88th St,E AVE,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=412 E 88TH STREET, E AVENUE, BROOKLYN&size=50",,40.777703,-73.947764
HXM1987,NY,PAS,8849386783,2021-09-11,7,33A,FIRE HYDRANT,NA,115,0,0,0,0,115,102,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOVVUVFJPYW1NMFRYYzlQUT09&locationName=_____________________),Saturday,2021,9,11,SUBN,2017,9306 76th St,"1762 VICTORY BOULEVARD, PRESSWAY @ PECK AVENUE, QUEENS","1762 Victory Blvd,PRESSWAY @ PECK AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1762 VICTORY BOULEVARD, PRESSWAY @ PECK AVENUE, QUEENS&size=50",,40.612898,-74.122299
JHM5392,NY,PAS,8849390350,2021-10-22,14,34P,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOVVUVFZOUkUweFRVRTlQUT09&locationName=_____________________),Friday,2021,10,22,4DSD,2015,N Liberty Ave,"22-04 33RD STREET, UNTHER AVENUE, QUEENS","22-04 33rd St,UNTHER AVE,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=22-04 33RD STREET, UNTHER AVENUE, QUEENS&size=50",,40.775273,-73.909964
JCB5157,NY,PAS,8850684186,2021-02-06,10,06A,FIRE HYDRANT,NA,115,0,0,0,0,115,067,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVXVFJPUkVVMFRtYzlQUT09&locationName=_____________________),Saturday,2021,2,6,NA,NA,NA,"45-19 ROCKAWAY BEACH BOULEVARD, 40FT N/OF E 178TH STREET, BROOKLYN","45-19 Rockaway Beach Blvd,40ft N/of E 178th St,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=45-19 ROCKAWAY BEACH BOULEVARD, 40FT N/OF E 178TH STREET, BROOKLYN&size=50",,40.593347,-73.776881
KHF4643,NY,PAS,8851064933,2021-03-15,14,32P,FIRE HYDRANT,NA,115,0,0,0,0,115,113,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMVVRVEpPUkd0NlRYYzlQUT09&locationName=_____________________),Monday,2021,3,15,NA,NA,NA,"E MAIN STREET, 20FT W/OF PARK AVENUE, QUEENS","E Main St,20ft W/of Park Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=E MAIN STREET, 20FT W/OF PARK AVENUE, QUEENS&size=50",,40.756349,-73.954877
KDE7125,NY,PAS,8851626777,2021-04-21,6,51A,FIRE HYDRANT,NA,115,0,0,0,0,115,114,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMVVXWGxPYW1NelRuYzlQUT09&locationName=_____________________),Wednesday,2021,4,21,NA,NA,NA,"2280 ANDREWS AVENUE, 0FT W/OF OCEAN AVE,QUEENS","2280 Andrews Ave,0ft W/of Ocean Ave,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2280 ANDREWS AVENUE, 0FT W/OF OCEAN AVE,QUEENS&size=50",,40.860717,-73.907688
GTK5836,NY,PAS,8852291398,2021-10-07,15,07P,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFTVFZOVkUwMVQwRTlQUT09&locationName=_____________________),Thursday,2021,10,7,4DSD,2020,E Frederick Douglass B,"152-11 89TH AVENUE, 10FT S/OF BLEECKER S,MANHATTAN","152-11 89th Ave,10ft S/of Bleecker S,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=152-11 89TH AVENUE, 10FT S/OF BLEECKER S,MANHATTAN&size=50",,40.705523,-73.804611
GJZ2383,NY,PAS,8852295343,2021-10-16,6,59A,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFTVFZPVkUwd1RYYzlQUT09&locationName=_____________________),Saturday,2021,10,16,SUBN,1999,W Bradhurst Ave,"140-30 ASH AVENUE, 60FT E/OF 10TH AVE,MANHATTAN","140-30 Ash Ave,60ft E/of 10th Ave,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=140-30 ASH AVENUE, 60FT E/OF 10TH AVE,MANHATTAN&size=50",,40.755434,-73.822683
KFG5777,NY,PAS,8852336874,2021-01-06,11,28A,FIRE HYDRANT,NA,115,0,0,0,115,0,046,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFUWHBPYW1jelRrRTlQUT09&locationName=_____________________),Wednesday,2021,1,6,NA,NA,NA,"438 4TH STREET, DEAN ST,BRONX","438 4th St,Dean St,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=438 4TH STREET, DEAN ST,BRONX&size=50",,40.669938,-73.979367
KJP7927,NY,PAS,8852346788,2021-02-16,10,36A,FIRE HYDRANT,NA,115,0,0,0,0,115,044,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFUVEJPYW1NMFQwRTlQUT09&locationName=_____________________),Tuesday,2021,2,16,NA,NA,NA,"613 W 169TH STREET, 0FT E/OF 41ST ST,BRONX","613 W 169th St,0ft E/of 41st St,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=613 W 169TH STREET, 0FT E/OF 41ST ST,BRONX&size=50",,40.842119,-73.939953
KSC2227,NY,PAS,8852540258,2021-09-20,6,07A,FIRE HYDRANT,NA,115,0,0,0,0,115,114,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFWVEJOUkVreFQwRTlQUT09&locationName=_____________________),Monday,2021,9,20,2DSD,2010,W 55th St,"844 ST ANNS AVENUE, 30FT S/OF W 14TH STREET, QUEENS","844 St Anns Ave,30ft S/of W 14th St,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=844 ST ANNS AVENUE, 30FT S/OF W 14TH STREET, QUEENS&size=50",,40.822119,-73.909349
