"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"JPG9024","NY","PAS",8953648403,"10/15/2021","08:34P","FAIL TO DSPLY MUNI METER RECPT",NA,65,0,0,0,0,65,"019","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMTZXVEJQUkZGM1RYYzlQUT09&locationName=_____________________)"
"JHV5844","NY","PAS",8978961381,"07/14/2021","01:41P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"070","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOUVhekpOVkUwMFRWRTlQUT09&locationName=_____________________)"
"KHM5720","NY","PAS",8806931933,"01/16/2021","11:16A","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,0,0,95,"018","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNXFhM3BOVkd0NlRYYzlQUT09&locationName=_____________________)"
"JJY2752","NY","PAS",8811243300,"07/01/2021","09:04A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"120","R","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFMVVTVEJOZWsxM1RVRTlQUT09&locationName=_____________________)"
"JRS5302","NY","PAS",8890911402,"11/03/2021","09:31A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"067","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMUVhM2hOVkZGM1RXYzlQUT09&locationName=_____________________)"
"GRA6896","NY","PAS",8815388114,"01/20/2021","02:10P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,65,0,0,"084","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFNVVUVFJQUkVWNFRrRTlQUT09&locationName=_____________________)"
"JBR7301","NY","PAS",8849632198,"10/13/2021","08:54A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"024","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FOVVXWHBOYWtVMVQwRTlQUT09&locationName=_____________________)"
"JLJ6267","NY","PAS",8880182304,"09/10/2021","09:50A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"104","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMUVSVFJOYWsxM1RrRTlQUT09&locationName=_____________________)"
"JAF3336","NY","PAS",8973158041,"04/23/2021","10:18A","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,35,0,"072","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZSVEZQUkVFd1RWRTlQUT09&locationName=_____________________)"
"JFN7700","NY","PAS",8994458396,"04/30/2021","02:47P","DOUBLE PARKING",NA,115,0,0,0,0,115,"090","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVVVEZQUkUwMVRtYzlQUT09&locationName=_____________________)"
"GCD3454","NY","PAS",8911022822,"05/27/2021","02:21P","NO STANDING-BUS LANE",NA,115,0,0,0,0,115,"013","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMVVRWGxOYW1kNVRXYzlQUT09&locationName=_____________________)"
"HSE4665","NY","PAS",8865018495,"02/26/2021","10:11A","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,0,0,95,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNVVRWGhQUkZFMVRsRTlQUT09&locationName=_____________________)"
"GJP1506","NY","PAS",8925375333,"09/07/2021","11:36A","DOUBLE PARKING",NA,115,0,0,0,0,115,"018","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVVNVVUVE5PVkUxNlRYYzlQUT09&locationName=_____________________)"
"KFK8091","NY","PAS",4722251757,"01/27/2021","09:02A","PHTO SCHOOL ZN SPEED VIOLATION","07/08/2021",50,25,2.33,0,77.33,0,"000","BK","DEPARTMENT OF TRANSPORTATION","HEARING ADJOURNMENT","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamVVMXFTVEZOVkdNeFRuYzlQUT09&locationName=_____________________)"
"HTJ2415","NY","PAS",8911865242,"06/18/2021","03:59P","EXPIRED MUNI METER",NA,65,0,0,65,0,0,"013","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMVVaekpPVkVrd1RXYzlQUT09&locationName=_____________________)"
"HZN1782","NY","PAS",8983527705,"08/03/2021","12:33P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"062","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZWWGxPZW1OM1RsRTlQUT09&locationName=_____________________)"
"HKB2957","NY","PAS",8858833120,"09/23/2021","03:02P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"032","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VOUVaM3BOZWtWNVRVRTlQUT09&locationName=_____________________)"
"EFD5058","NY","PAS",8902359438,"10/12/2021","05:04P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,35,0,0,"114","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMXFUVEZQVkZGNlQwRTlQUT09&locationName=_____________________)"
"JRR1275","NY","PAS",8984670420,"07/15/2021","08:36A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"066","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNUVXVE5OUkZGNVRVRTlQUT09&locationName=_____________________)"
"KDA4492","NY","PAS",8975125610,"05/26/2021","07:29A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"068","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNVVSWGxPVkZsNFRVRTlQUT09&locationName=_____________________)"
"JGM7984","NY","PAS",8989852237,"03/26/2021","11:39A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"088","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVaekZOYWtsNlRuYzlQUT09&locationName=_____________________)"
"KGA4038","NY","PAS",4732669839,"05/14/2021","05:20P","PHTO SCHOOL ZN SPEED VIOLATION","09/09/2021",50,25,1.21,0,0,76.21,"000","BK","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamVrMXFXVEpQVkdkNlQxRTlQUT09&locationName=_____________________)"
"GGT5393","NY","PAS",2001992520,"05/28/2021","08:41A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"043","Bronx","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMVVhelZOYWxWNVRVRTlQUT09&locationName=_____________________)"
"HAB8584","NY","PAS",8988264496,"06/01/2021","08:59A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"090","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOUVTVEpPUkZFMVRtYzlQUT09&locationName=_____________________)"
"ACF4029","NY","PAS",8694799947,"05/14/2021","08:38P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"115","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5VNUVZelZQVkdzd1RuYzlQUT09&locationName=_____________________)"
"JFZ4137","NY","PAS",8859368583,"03/18/2021","06:45A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"111","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VOVVUVEpQUkZVMFRYYzlQUT09&locationName=_____________________)"
"JHN5135","NY","PAS",8973734404,"05/18/2021","10:52A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,115,0,0,"062","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZZM3BPUkZGM1RrRTlQUT09&locationName=_____________________)"
"JBB4868","NY","PAS",8987984242,"11/02/2021","10:27A","EXPIRED MUNI METER",NA,35,0,0,0,0,35,"084","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNTZhelJPUkVrd1RXYzlQUT09&locationName=_____________________)"
"JBB9986","NY","PAS",8973635165,"06/10/2021","06:00A","DOUBLE PARKING",NA,115,0,0,0,115,0,"067","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZXWHBPVkVVeVRsRTlQUT09&locationName=_____________________)"
"KDS2593","NY","PAS",8982367639,"06/17/2021","12:46P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"071","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFUVEpPZWxsNlQxRTlQUT09&locationName=_____________________)"
"HZH8211","NY","PAS",8905167573,"10/27/2021","11:03A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNVVSVEpPZWxVelRYYzlQUT09&locationName=_____________________)"
"CYB3830","NY","PAS",8967506983,"04/01/2021","04:29P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"041","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZWWGRPYW1zMFRYYzlQUT09&locationName=_____________________)"
"HLX9158","NY","PAS",1480382735,"04/15/2021","12:02P","NO PARKING-DAY/TIME LIMITS",NA,65,0,0,0,35,30,"013","NY","DEPARTMENT OF SANITATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FMUVUVFJOYW1ONlRsRTlQUT09&locationName=_____________________)"
"GMZ9769","NY","PAS",8956184550,"11/03/2021","08:17P","FIRE HYDRANT",NA,115,0,0,0,0,115,"030","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNXFSVFJPUkZVeFRVRTlQUT09&locationName=_____________________)"
"HKD8931","NY","PAS",8985804388,"07/09/2021","10:13A","EXPIRED MUNI METER",NA,35,0,0,0,35,0,"109","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNVVaM2RPUkUwMFQwRTlQUT09&locationName=_____________________)"
"JMU7177","NY","PAS",8890965575,"01/25/2021","03:29P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"075","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMUVhekpPVkZVelRsRTlQUT09&locationName=_____________________)"
"JGM9065","NY","PAS",8980957919,"04/17/2021","03:31P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,35,0,"060","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMUVhekZPZW10NFQxRTlQUT09&locationName=_____________________)"
"HMK1902","NY","PAS",8897868721,"08/05/2021","09:12A","NO PARKING-STREET CLEANING",NA,65,0,0,0,65,0,"006","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNTZaekpQUkdONVRWRTlQUT09&locationName=_____________________)"
"HYR4920","NY","PAS",8795029345,"01/15/2021","01:21P","NO STANDING-BUS STOP",NA,115,0,0,0,0,115,"023","NY","TRAFFIC","HEARING ADJOURNMENT","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VNVVRWGxQVkUwd1RsRTlQUT09&locationName=_____________________)"
"JMG1161","NY","PAS",8886158658,"02/08/2021","01:25P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNXFSVEZQUkZreFQwRTlQUT09&locationName=_____________________)"
"HAM1776","NY","PAS",8953187783,"09/28/2021","05:24P","FAIL TO DSPLY MUNI METER RECPT",NA,65,0,0,0,0,65,"020","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMTZSVFJPZW1NMFRYYzlQUT09&locationName=_____________________)"
"JMF9489","NY","PAS",1456078811,"10/22/2021","12:20A","NO STANDING-BUS STOP",NA,115,0,0,0,0,115,"114","Q","POLICE DEPARTMENT","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VNXFRVE5QUkdkNFRWRTlQUT09&locationName=_____________________)"
"JRM6667","NY","PAS",8967841700,"08/19/2021","06:19P","FIRE HYDRANT",NA,115,0,0,0,0,115,"040","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZaekJOVkdOM1RVRTlQUT09&locationName=_____________________)"
"KSF1269","NY","PAS",8995330454,"10/14/2021","01:23P","FIRE HYDRANT",NA,115,0,0,0,0,115,"090","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVUWHBOUkZFeFRrRTlQUT09&locationName=_____________________)"
"HZY9731","NY","PAS",8881707196,"01/27/2021","02:45P","BEYOND MARKED SPACE",NA,45,0,0,0,45,0,"044","BX","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMVVZM2RPZWtVMVRtYzlQUT09&locationName=_____________________)"
"KLE5198","NY","PAS",5117623381,"10/12/2021","12:59A","FAILURE TO STOP AT RED LIGHT",NA,50,0,0,0,50,0,"000","BX","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVFNTZXWGxOZWswMFRWRTlQUT09&locationName=_____________________)"
"KKE3039","NY","PAS",8950521635,"06/30/2021","04:20P","BIKE LANE",NA,115,0,0,0,0,115,"033","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMUVWWGxOVkZsNlRsRTlQUT09&locationName=_____________________)"
"HTM1090","NY","PAS",8886754188,"03/06/2021","08:50A","FRONT OR BACK PLATE MISSING",NA,65,0,0,0,0,65,"115","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNXFZekZPUkVVMFQwRTlQUT09&locationName=_____________________)"
"JNR6582","NY","PAS",8756276527,"08/20/2021","12:35P","EXPIRED MUNI METER",NA,35,0,0,0,0,35,"115","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNXFTVE5PYWxWNVRuYzlQUT09&locationName=_____________________)"
"GCY5497","NY","PAS",8731333710,"08/17/2021","02:14A","FIRE HYDRANT",NA,115,0,0,0,0,115,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrMVVUWHBOZW1ONFRVRTlQUT09&locationName=_____________________)"
"KLJ3590","NY","PAS",8772193700,"10/21/2021","12:23P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"109","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wMXFSVFZOZW1OM1RVRTlQUT09&locationName=_____________________)"
"HYX8783","NY","PAS",8988827170,"10/06/2021","03:58P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"079","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOUVaM2xPZWtVelRVRTlQUT09&locationName=_____________________)"
"GBJ3297","NY","PAS",8772634716,"05/05/2021","10:43A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"113","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wMXFXWHBPUkdONFRtYzlQUT09&locationName=_____________________)"
"HNR3957","NY","PAS",8997044680,"09/08/2021","01:22A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"069","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNTZRVEJPUkZrMFRVRTlQUT09&locationName=_____________________)"
"JEC8682","NY","PAS",8815048807,"03/13/2021","09:09A","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,35,0,0,"112","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFNVVRVEJQUkdkM1RuYzlQUT09&locationName=_____________________)"
"KMD4174","NY","PAS",8992654091,"05/04/2021","02:54P","FIRE HYDRANT",NA,115,0,0,0,0,115,"075","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFXVEZPUkVFMVRWRTlQUT09&locationName=_____________________)"
"JLF3141","NY","PAS",8989225115,"09/24/2021","09:46A","EXPIRED MUNI METER",NA,35,0,0,0,0,35,"084","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVTWGxPVkVWNFRsRTlQUT09&locationName=_____________________)"
"JHH4660","NY","PAS",8942903277,"03/09/2021","08:29A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"023","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMXFhM2ROZWtrelRuYzlQUT09&locationName=_____________________)"
"KHB9848","NY","PAS",8895480922,"04/27/2021","03:23P","NO PARKING-DAY/TIME LIMITS",NA,65,0,0,0,0,65,"007","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNVVVVFJOUkd0NVRXYzlQUT09&locationName=_____________________)"
"KGF9257","NY","PAS",8873380554,"08/28/2021","01:01P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMTZUVFJOUkZVeFRrRTlQUT09&locationName=_____________________)"
"KJC4519","NY","PAS",8931251610,"03/01/2021","03:14P","NO STANDING-COMM METER ZONE",NA,115,0,0,0,0,115,"017","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrMVVTVEZOVkZsNFRVRTlQUT09&locationName=_____________________)"
"HNE1827","NY","PAS",8801436713,"01/04/2021","03:23P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,35,0,0,"061","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwMVVVWHBPYW1ONFRYYzlQUT09&locationName=_____________________)"
"JPD2635","NY","PAS",8935911641,"05/14/2021","12:06P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"014","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNVVhM2hOVkZrd1RWRTlQUT09&locationName=_____________________)"
"GKZ9599","NY","PAS",1485089920,"11/02/2021","02:51A","NO STANDING-EXC. AUTH. VEHICLE",NA,95,0,0,0,0,95,"044","BX","POLICE DEPARTMENT","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNVVRVFJQVkd0NVRVRTlQUT09&locationName=_____________________)"
"GZH4581","NY","PAS",8959450303,"02/25/2021","09:11A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"047","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOVVVVEZOUkUxM1RYYzlQUT09&locationName=_____________________)"
"KPC7052","NY","PAS",8954529409,"08/13/2021","10:31A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"023","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNUVWWGxQVkZGM1QxRTlQUT09&locationName=_____________________)"
"HRB4223","NY","PAS",8878717794,"09/16/2021","02:54P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,65,0,0,"109","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVZM2hPZW1NMVRrRTlQUT09&locationName=_____________________)"
"JPM2650","NY","PAS",2002260618,"06/25/2021","11:46A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"075","Kings","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFTVEpOUkZsNFQwRTlQUT09&locationName=_____________________)"
"HFJ4775","NY","PAS",8882702492,"01/19/2021","07:17A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"043","BX","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMXFZM2ROYWxFMVRXYzlQUT09&locationName=_____________________)"
"KHA8792","NY","PAS",8973551292,"03/06/2021","08:49A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"061","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMTZWVEZOVkVrMVRXYzlQUT09&locationName=_____________________)"
"JPU7167","NY","PAS",8834362226,"06/04/2021","01:51P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"108","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNUVUVEpOYWtsNVRtYzlQUT09&locationName=_____________________)"
"JJT2112","NY","PAS",8989563069,"06/19/2021","07:44A","FIRE HYDRANT",NA,115,0,0,0,0,115,"090","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVWVEpOZWtFeVQxRTlQUT09&locationName=_____________________)"
"HDE5517","NY","PAS",2002404227,"06/15/2021","08:53A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"100","Qns","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFVWGRPUkVsNVRuYzlQUT09&locationName=_____________________)"
"KMB3069","NY","PAS",8941177285,"10/23/2021","01:43P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"114","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FMVVSVE5PZWtrMFRsRTlQUT09&locationName=_____________________)"
"JRD2833","NY","PAS",1473583032,"03/04/2021","11:13P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"095","BX","POLICE DEPARTMENT","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMTZWVFJOZWtGNlRXYzlQUT09&locationName=_____________________)"
"KKT2977","NY","PAS",8852541792,"09/30/2021","07:10A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"108","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMXFWVEJOVkdNMVRXYzlQUT09&locationName=_____________________)"
"KHL6839","NY","PAS",8912355843,"03/22/2021","02:17P","NO STANDING-COMM METER ZONE",NA,115,0,0,0,0,115,"014","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFUVEZPVkdjd1RYYzlQUT09&locationName=_____________________)"
"JMA9289","NY","PAS",8974608406,"04/24/2021","09:14A","FIRE HYDRANT",NA,115,0,0,115,0,0,"071","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNUVXWGRQUkZGM1RtYzlQUT09&locationName=_____________________)"
"KDV8082","NY","PAS",2002287156,"06/14/2021","07:45A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"052","Bronx","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFTVFJPZWtVeFRtYzlQUT09&locationName=_____________________)"
"JFS3735","NY","PAS",8979030691,"08/03/2021","05:37P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"075","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wOVVRWHBOUkZrMVRWRTlQUT09&locationName=_____________________)"
"HUZ6606","NY","PAS",8888094106,"10/30/2021","05:56P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"112","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FOUVRVFZPUkVWM1RtYzlQUT09&locationName=_____________________)"
